LINESTRING (1.697336 42.527886, 1.697323 42.527768) 
LINESTRING (1.697323 42.527768, 1.697333 42.527511) 
LINESTRING (1.697333 42.527511, 1.697388 42.527440) 
LINESTRING (1.697388 42.527440, 1.697530 42.527300) 
LINESTRING (1.697530 42.527300, 1.697614 42.527221) 
LINESTRING (1.697614 42.527221, 1.697642 42.527186) 
LINESTRING (1.697642 42.527186, 1.697644 42.527129) 
LINESTRING (1.697644 42.527129, 1.697588 42.526926) 
LINESTRING (1.697588 42.526926, 1.697554 42.526830) 
LINESTRING (1.697554 42.526830, 1.697549 42.526764) 
LINESTRING (1.697549 42.526764, 1.697546 42.526731) 
LINESTRING (1.697546 42.526731, 1.697549 42.526683) 
LINESTRING (1.697549 42.526683, 1.697582 42.526395) 
LINESTRING (1.697582 42.526395, 1.697656 42.526193) 
LINESTRING (1.697656 42.526193, 1.697677 42.526138) 
LINESTRING (1.697677 42.526138, 1.697721 42.526021) 
LINESTRING (1.697721 42.526021, 1.697795 42.525842) 
LINESTRING (1.697795 42.525842, 1.697907 42.525662) 
LINESTRING (1.697907 42.525662, 1.697998 42.525542) 
LINESTRING (1.697998 42.525542, 1.698074 42.525486) 
LINESTRING (1.698074 42.525486, 1.697866 42.525439) 
LINESTRING (1.697866 42.525439, 1.697789 42.525333) 
LINESTRING (1.697789 42.525333, 1.697736 42.525237) 
LINESTRING (1.697736 42.525237, 1.697656 42.525113) 
LINESTRING (1.697656 42.525113, 1.697622 42.525015) 
LINESTRING (1.697622 42.525015, 1.697555 42.524899) 
LINESTRING (1.697555 42.524899, 1.697422 42.524769) 
LINESTRING (1.697422 42.524769, 1.697364 42.524674) 
LINESTRING (1.697364 42.524674, 1.697302 42.524595) 
LINESTRING (1.697302 42.524595, 1.697197 42.524524) 
LINESTRING (1.697197 42.524524, 1.697102 42.524468) 
LINESTRING (1.697102 42.524468, 1.697080 42.524393) 
LINESTRING (1.697080 42.524393, 1.697111 42.524313) 
